{'838517446269087745': {'fullname': b'Ayesha Khalid', 'timestamp': '2017-03-05 22:31:52', 'user': 'ayesshakhalid', 'replies': '1', 'likes': '3', 'retweets': '0'}}
{'885829509655744513': {'fullname': b'AgainstAllOdds', 'timestamp': '2017-07-14 11:53:07', 'user': 'MaonBillii', 'replies': '1', 'likes': '16', 'retweets': '5'}}
{'885794612983599104': {'fullname': b'Lord Commander', 'timestamp': '2017-07-14 09:34:27', 'user': 'ibrar_kha', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'885773577772871680': {'fullname': b'Adeel Ahmed', 'timestamp': '2017-07-14 08:10:52', 'user': 'shiekh_adeel', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'890694226064945152': {'fullname': b'MB', 'timestamp': '2017-07-27 22:03:46', 'user': 'mb3official', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'890552807568285696': {'fullname': b'Aqdas Vohra', 'timestamp': '2017-07-27 12:41:49', 'user': 'VohraAqdas', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'890548697544740864': {'fullname': b'Irfan Jamil', 'timestamp': '2017-07-27 12:25:29', 'user': 'irfanaries', 'replies': '1', 'likes': '3', 'retweets': '0'}}
{'890537761975009281': {'fullname': b'Syeda Arfa Kazmi\xc2\xa0\xf0\x9f\x91\xa7', 'timestamp': '2017-07-27 11:42:02', 'user': 'PTI_TS_Insafian', 'replies': '0', 'likes': '7', 'retweets': '7'}}
{'890510207964635139': {'fullname': b'AftabShah', 'timestamp': '2017-07-27 09:52:33', 'user': 'AftabShahLHR', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'890509911934853120': {'fullname': b'AftabShah', 'timestamp': '2017-07-27 09:51:22', 'user': 'AftabShahLHR', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'890263654611943429': {'fullname': b'/// Khan', 'timestamp': '2017-07-26 17:32:50', 'user': 'GoldnOil750', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'889889457628958720': {'fullname': b'Basit Siddiqui', 'timestamp': '2017-07-25 16:45:54', 'user': 'Basit7893', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'889871110615044096': {'fullname': b'ABBAS SHAH', 'timestamp': '2017-07-25 15:33:00', 'user': 'AShah61225647', 'replies': '0', 'likes': '3', 'retweets': '1'}}
{'889858310479982593': {'fullname': b'\xd9\x86\xd8\xa7\xd9\x85\xd8\xb9\xd9\x84\xd9\x88\xd9\x85_\xd8\xb3\xd9\x88\xdb\x8c\xd9\x84\xdb\x8c\xd9\x86', 'timestamp': '2017-07-25 14:42:08', 'user': 'AliyaPervaiz_1', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'889852545207869440': {'fullname': b'Saima Farooq', 'timestamp': '2017-07-25 14:19:14', 'user': 'SaimaFarooq', 'replies': '3', 'likes': '117', 'retweets': '47'}}
{'889849918877306880': {'fullname': b'Adil', 'timestamp': '2017-07-25 14:08:47', 'user': 'aafm__', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'889849704518995968': {'fullname': b'Adil', 'timestamp': '2017-07-25 14:07:56', 'user': 'aafm__', 'replies': '2', 'likes': '0', 'retweets': '0'}}
{'889849158991040513': {'fullname': b'Adil', 'timestamp': '2017-07-25 14:05:46', 'user': 'aafm__', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'889814406854561792': {'fullname': b'PMLN MANCHESTER', 'timestamp': '2017-07-25 11:47:41', 'user': 'irfansunny80', 'replies': '1', 'likes': '0', 'retweets': '3'}}
{'889812926634360832': {'fullname': b'PMLN UK', 'timestamp': '2017-07-25 11:41:48', 'user': 'PMLN_UK', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'889777281136287744': {'fullname': b'MUJTABA RAZZAQI', 'timestamp': '2017-07-25 09:20:09', 'user': 'MUJTABARAZZAQI', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'889468717679214592': {'fullname': b'Ahmad Baig', 'timestamp': '2017-07-24 12:54:02', 'user': 'MAhmedbaig', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'889439053774565383': {'fullname': b'Dark Angel', 'timestamp': '2017-07-24 10:56:10', 'user': 'angeld443', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'889298247281512449': {'fullname': b'Pakistan MyLove', 'timestamp': '2017-07-24 01:36:39', 'user': 'waqasahmad10001', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'913768716868911105': {'fullname': b'Cup of tea!', 'timestamp': '2017-09-29 14:13:33', 'user': 'RoseRibbons', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'913725151648387072': {'fullname': b'Raza Butt \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-09-29 11:20:27', 'user': 'SocialDigitally', 'replies': '3', 'likes': '120', 'retweets': '89'}}
{'913690299070689280': {'fullname': b'\xd8\xa8\xd9\x86\xd9\xb9\xd9\x88', 'timestamp': '2017-09-29 09:01:57', 'user': 'FactualPartisan', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'913394610067640320': {'fullname': b'Urdu Shayeri', 'timestamp': '2017-09-28 13:26:59', 'user': 'urdu_Shayeri', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'913190273781501952': {'fullname': b'iaamna', 'timestamp': '2017-09-27 23:55:02', 'user': 'AamnaSarim', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'913162138230968321': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-09-27 22:03:14', 'user': 'syedams1', 'replies': '0', 'likes': '4', 'retweets': '4'}}
{'913104721585606656': {'fullname': b'ShahzadaFahad', 'timestamp': '2017-09-27 18:15:04', 'user': 'outideinn', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'912858404745547776': {'fullname': b'iaamna', 'timestamp': '2017-09-27 01:56:18', 'user': 'AamnaSarim', 'replies': '0', 'likes': '14', 'retweets': '6'}}
{'912451474873077760': {'fullname': b'iaamna', 'timestamp': '2017-09-25 22:59:18', 'user': 'AamnaSarim', 'replies': '1', 'likes': '1', 'retweets': '0'}}
{'912384543830740993': {'fullname': b'iaamna', 'timestamp': '2017-09-25 18:33:21', 'user': 'AamnaSarim', 'replies': '0', 'likes': '4', 'retweets': '3'}}
{'912206585115611136': {'fullname': b'Doctor Zia Ahmad', 'timestamp': '2017-09-25 06:46:12', 'user': 'drZiaAhmad1', 'replies': '1', 'likes': '6', 'retweets': '3'}}
{'912192969037541376': {'fullname': b'Danyal chaudhary', 'timestamp': '2017-09-25 05:52:06', 'user': 'danyalchaudhary', 'replies': '0', 'likes': '11', 'retweets': '2'}}
{'912076006206427136': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-09-24 22:07:20', 'user': 'syedams1', 'replies': '0', 'likes': '2', 'retweets': '2'}}
{'911979105394085888': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-09-24 15:42:17', 'user': 'syedams1', 'replies': '0', 'likes': '5', 'retweets': '2'}}
{'911907608700866562': {'fullname': b'Danyal chaudhary', 'timestamp': '2017-09-24 10:58:10', 'user': 'danyalchaudhary', 'replies': '0', 'likes': '4', 'retweets': '2'}}
{'911849272747970560': {'fullname': b'sarosh yakoob mehdi', 'timestamp': '2017-09-24 07:06:22', 'user': 'whereangelsdare', 'replies': '1', 'likes': '2', 'retweets': '1'}}
{'911613698178998274': {'fullname': b'sarosh yakoob mehdi', 'timestamp': '2017-09-23 15:30:17', 'user': 'whereangelsdare', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'911521969027321856': {'fullname': b'Arshad Malik \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-09-23 09:25:47', 'user': 'arshadmmalik', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'911201896303616001': {'fullname': b'A.', 'timestamp': '2017-09-22 12:13:56', 'user': 'Alevee12', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'899384534587854848': {'fullname': b'\xe2\x80\x8e Af\xcd\x9fa\xcd\x9eq\xcd\x9e~A\xcd\x9eh\xcd\x9fm\xcd\x9ea\xcd\x9ed\xcd\x9f', 'timestamp': '2017-08-20 21:35:57', 'user': 'Afaq__Ahmad', 'replies': '0', 'likes': '11', 'retweets': '5'}}
{'899383294457937921': {'fullname': b'\xe2\x80\x8e Af\xcd\x9fa\xcd\x9eq\xcd\x9e~A\xcd\x9eh\xcd\x9fm\xcd\x9ea\xcd\x9ed\xcd\x9f', 'timestamp': '2017-08-20 21:31:01', 'user': 'Afaq__Ahmad', 'replies': '0', 'likes': '11', 'retweets': '4'}}
{'898809448717799424': {'fullname': b'(Naya Pakistan)\xc2\xa0\xf0\x9f\x8c\x9f\xc2\xa0\xf0\x9f\x90\xa6', 'timestamp': '2017-08-19 07:30:46', 'user': 'sufyansohail6', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'898700014331023360': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-08-19 00:15:55', 'user': 'syedams1', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'898435567058276354': {'fullname': b'Abid Ali', 'timestamp': '2017-08-18 06:45:05', 'user': 'ssupperstare', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'898340912324988928': {'fullname': b'Adeel Ali Khan', 'timestamp': '2017-08-18 00:28:58', 'user': 'khanadeelali', 'replies': '1', 'likes': '5', 'retweets': '2'}}
{'898329787315376128': {'fullname': b'Arshad Malik \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-08-17 23:44:46', 'user': 'arshadmmalik', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'898231403015528448': {'fullname': b'\xda\xa9\xd9\xb9\xd8\xb1 \xd8\xa7\xd9\x86\xd8\xb5\xd8\xa7\xd9\x81\xdb\x8c', 'timestamp': '2017-08-17 17:13:49', 'user': 'AslamPervezPTI', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'898186835909910528': {'fullname': b'Syeda Arfa Kazmi\xc2\xa0\xf0\x9f\x91\xa7', 'timestamp': '2017-08-17 14:16:43', 'user': 'PTI_TS_Insafian', 'replies': '0', 'likes': '3', 'retweets': '4'}}
{'898171720544157696': {'fullname': b'\xd8\xb3\xdb\x94\xd8\xb4', 'timestamp': '2017-08-17 13:16:40', 'user': 'sirsirajshah', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'897720987164323846': {'fullname': b'\xd9\x85\xd9\x84\xd9\x86\xda\xaf\xdb\x8c / John Weak', 'timestamp': '2017-08-16 07:25:36', 'user': '1SamPk', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'897512709297754117': {'fullname': b'Adnan Zaheer Khawaja', 'timestamp': '2017-08-15 17:37:59', 'user': 'Adnan_Zaheer', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'897504240020541440': {'fullname': b'Adnan Zaheer Khawaja', 'timestamp': '2017-08-15 17:04:20', 'user': 'Adnan_Zaheer', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'897465840681054210': {'fullname': b'Ahmad Baig', 'timestamp': '2017-08-15 14:31:45', 'user': 'MAhmedbaig', 'replies': '0', 'likes': '5', 'retweets': '3'}}
{'897015393436540928': {'fullname': b'Rizwan pasheymaan', 'timestamp': '2017-08-14 08:41:50', 'user': 'husnain_rizwan', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'896880070114942976': {'fullname': b'Najaf Awan', 'timestamp': '2017-08-13 23:44:06', 'user': 'najafawan786', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'896842005250273280': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-08-13 21:12:51', 'user': 'syedams1', 'replies': '0', 'likes': '8', 'retweets': '3'}}
{'896841092460662784': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-08-13 21:09:13', 'user': 'syedams1', 'replies': '0', 'likes': '6', 'retweets': '3'}}
{'896802851074322433': {'fullname': b'\xd8\xb3\xdb\x94\xd8\xb4', 'timestamp': '2017-08-13 18:37:16', 'user': 'sirsirajshah', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'896799678213369856': {'fullname': b'\xd8\xb9\xd8\xa7\xd9\x85 \xd9\xbe\xd8\xa7\xda\xa9\xd8\xb3\xd8\xaa\xd8\xa7\xd9\x86\xdb\x8c', 'timestamp': '2017-08-13 18:24:39', 'user': 'MalixOwn', 'replies': '0', 'likes': '2', 'retweets': '0'}}
{'893410561853194240': {'fullname': b'Adnan Zaheer Khawaja', 'timestamp': '2017-08-04 09:57:31', 'user': 'Adnan_Zaheer', 'replies': '0', 'likes': '7', 'retweets': '7'}}
{'893372249062952960': {'fullname': b'\xda\x86\xd9\x88\xd8\xaf\xda\xbe\xd8\xb1\xdb\x8c \xd9\x88\xd8\xb3\xdb\x8c\xd9\x85 \xd8\xb9\xd8\xb8\xd9\x85\xd8\xaa', 'timestamp': '2017-08-04 07:25:16', 'user': 'WaseemAzmet', 'replies': '0', 'likes': '22', 'retweets': '13'}}
{'892787436509696000': {'fullname': b'faizzanzafar \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-08-02 16:41:26', 'user': 'faizzanzafar007', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'892634092537344000': {'fullname': b'Lord Commander', 'timestamp': '2017-08-02 06:32:06', 'user': 'ibrar_kha', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'892371191876517891': {'fullname': b'Saima Farooq', 'timestamp': '2017-08-01 13:07:26', 'user': 'SaimaFarooq', 'replies': '4', 'likes': '79', 'retweets': '31'}}
{'892332902129840129': {'fullname': b'Merge Mafia', 'timestamp': '2017-08-01 10:35:17', 'user': 'theradicalsquad', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'892126023281762304': {'fullname': b'Ahmad Baig', 'timestamp': '2017-07-31 20:53:13', 'user': 'MAhmedbaig', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'892097446347755522': {'fullname': b'Tahir ', 'timestamp': '2017-07-31 18:59:40', 'user': 'tahiriqbal', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'891979858242174976': {'fullname': b'Spartacus Asli Wala', 'timestamp': '2017-07-31 11:12:25', 'user': 'SpartacusAsli', 'replies': '0', 'likes': '2', 'retweets': '0'}}
{'891967166416691200': {'fullname': b'Irfan Afridi', 'timestamp': '2017-07-31 10:21:59', 'user': 'IrfanAfridi85', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'891776861323264002': {'fullname': b'R@miz', 'timestamp': '2017-07-30 21:45:46', 'user': 'Opto_Bot', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'891761172923461634': {'fullname': b'Lestaat Morias', 'timestamp': '2017-07-30 20:43:26', 'user': 'lestaatmorias', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'891642466994094081': {'fullname': b'\xd8\xb4\xd8\xa7\xdb\x81 \xd8\xa8\xd8\xb1\xda\xbe\xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xdb\x81\xd9\x86\xd8\xaf\xdb\x8c', 'timestamp': '2017-07-30 12:51:44', 'user': 'GoFJ', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'891590263268925440': {'fullname': b'Anjum Shah', 'timestamp': '2017-07-30 09:24:18', 'user': 'AnjumShah82', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'891578493942812673': {'fullname': b'\xda\x86\xd9\x88\xd8\xaf\xda\xbe\xd8\xb1\xdb\x8c \xd9\x88\xd8\xb3\xdb\x8c\xd9\x85 \xd8\xb9\xd8\xb8\xd9\x85\xd8\xaa', 'timestamp': '2017-07-30 08:37:32', 'user': 'WaseemAzmet', 'replies': '2', 'likes': '9', 'retweets': '5'}}
{'891451794655768576': {'fullname': b'\xd8\xb9\xd9\x81\xd8\xa7\xd9\x86 \xd8\xa7\xd8\xad\xd9\x85\xd8\xaf', 'timestamp': '2017-07-30 00:14:04', 'user': 'ShAffanAhmed', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'891397560081973248': {'fullname': b'Adnan Zaheer Khawaja', 'timestamp': '2017-07-29 20:38:34', 'user': 'Adnan_Zaheer', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'891299669632012288': {'fullname': b'IMRAN', 'timestamp': '2017-07-29 14:09:35', 'user': 'imran_azad27', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'826925894178533377': {'fullname': b'ayyaz ahmed sipra', 'timestamp': '2017-02-01 22:51:11', 'user': 'linzerian', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'826916834825871362': {'fullname': b'Nawaz Sharif', 'timestamp': '2017-02-01 22:15:11', 'user': 'MuhammadNSharif', 'replies': '1', 'likes': '2', 'retweets': '0'}}
{'826916064063787012': {'fullname': b'\xc6\x8a\xce\xb1\xce\xb7\xce\xb9\xce\xb1\xc6\x96\xcf\x83\xce\xbd\xce\xb9c', 'timestamp': '2017-02-01 22:12:07', 'user': 'danialovic', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'826913729463861251': {'fullname': b'Haji Irshad Bhatti', 'timestamp': '2017-02-01 22:02:51', 'user': 'HajiIrshadBhat1', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'826909504931495936': {'fullname': b'\xd9\x81\xd8\xa7\xd8\xb1\xd8\xba \xd8\xac\xd8\xb0\xd8\xa8\xd8\xa7\xd8\xaa\xdb\x8c', 'timestamp': '2017-02-01 21:46:03', 'user': 'FarighJazbati', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'826907911397990404': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-02-01 21:39:43', 'user': 'syedams1', 'replies': '0', 'likes': '2', 'retweets': '0'}}
{'826899108774416385': {'fullname': b'\xc6\x8a\xce\xb1\xce\xb7\xce\xb9\xce\xb1\xc6\x96\xcf\x83\xce\xbd\xce\xb9c', 'timestamp': '2017-02-01 21:04:45', 'user': 'danialovic', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'826897221966774273': {'fullname': b'\xc6\x8a\xce\xb1\xce\xb7\xce\xb9\xce\xb1\xc6\x96\xcf\x83\xce\xbd\xce\xb9c', 'timestamp': '2017-02-01 20:57:15', 'user': 'danialovic', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'826894737563062273': {'fullname': b'Syedih', 'timestamp': '2017-02-01 20:47:23', 'user': 'SyedIHusain', 'replies': '0', 'likes': '3', 'retweets': '6'}}
{'826890964082028545': {'fullname': b'Shehzar Aly', 'timestamp': '2017-02-01 20:32:23', 'user': 'AlyShehza', 'replies': '0', 'likes': '3', 'retweets': '0'}}
{'826879064296267783': {'fullname': b'Malik Shehroz Awan', 'timestamp': '2017-02-01 19:45:06', 'user': 'ms_sixty5', 'replies': '0', 'likes': '42', 'retweets': '19'}}
{'826878436027281410': {'fullname': b'Malik Shehroz Awan', 'timestamp': '2017-02-01 19:42:36', 'user': 'ms_sixty5', 'replies': '0', 'likes': '22', 'retweets': '10'}}
{'826866954250121216': {'fullname': b'Qadeer Ahmad', 'timestamp': '2017-02-01 18:56:58', 'user': 'Qdeerahmad', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'826866572811722753': {'fullname': b'\xd9\x85\xd9\x84\xda\xa9Malik', 'timestamp': '2017-02-01 18:55:28', 'user': 'Malik__73', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'826865717190545412': {'fullname': b'Faiza', 'timestamp': '2017-02-01 18:52:04', 'user': 'faizaaslamch', 'replies': '0', 'likes': '4', 'retweets': '0'}}
{'826865413099311108': {'fullname': b'Khawaja M. Asif', 'timestamp': '2017-02-01 18:50:51', 'user': 'KhawajaMAsif', 'replies': '53', 'likes': '504', 'retweets': '161'}}
{'826864708787589122': {'fullname': b'Syedih', 'timestamp': '2017-02-01 18:48:03', 'user': 'SyedIHusain', 'replies': '0', 'likes': '1', 'retweets': '4'}}
{'826860994878197772': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-02-01 18:33:18', 'user': 'syedams1', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'826857049346756609': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-02-01 18:17:37', 'user': 'syedams1', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'826850139885228042': {'fullname': b'crypto trader', 'timestamp': '2017-02-01 17:50:10', 'user': 'realalishafi', 'replies': '2', 'likes': '0', 'retweets': '0'}}
{'945716019720544257': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-12-26 18:00:44', 'user': 'syedams1', 'replies': '1', 'likes': '35', 'retweets': '18'}}
{'945371598621675522': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-12-25 19:12:07', 'user': 'syedams1', 'replies': '0', 'likes': '3', 'retweets': '3'}}
{'945371141782298624': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-12-25 19:10:19', 'user': 'syedams1', 'replies': '0', 'likes': '3', 'retweets': '2'}}
{'945272449213652993': {'fullname': b'Irfan Afridi', 'timestamp': '2017-12-25 12:38:08', 'user': 'IrfanAfridi85', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'945009176190898176': {'fullname': b'Maria Saleem', 'timestamp': '2017-12-24 19:11:59', 'user': 'mariaasaleem', 'replies': '0', 'likes': '9', 'retweets': '7'}}
{'944961325507194880': {'fullname': b'Syedih', 'timestamp': '2017-12-24 16:01:51', 'user': 'SyedIHusain', 'replies': '0', 'likes': '1', 'retweets': '1'}}
{'944952947074617350': {'fullname': b'Rizwan pasheymaan', 'timestamp': '2017-12-24 15:28:33', 'user': 'husnain_rizwan', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'944843220479086592': {'fullname': b'Rehan Chaudhary', 'timestamp': '2017-12-24 08:12:32', 'user': 'ch_rehaan', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'944822766343262208': {'fullname': b'\xda\x86\xd9\x88\xd8\xaf\xda\xbe\xd8\xb1\xdb\x8c \xd9\x88\xd8\xb3\xdb\x8c\xd9\x85 \xd8\xb9\xd8\xb8\xd9\x85\xd8\xaa', 'timestamp': '2017-12-24 06:51:16', 'user': 'WaseemAzmet', 'replies': '0', 'likes': '13', 'retweets': '9'}}
{'944673742784999424': {'fullname': b'Dr Humma Saeef', 'timestamp': '2017-12-23 20:59:06', 'user': 'HummaSaif', 'replies': '0', 'likes': '8', 'retweets': '5'}}
{'944532512000405506': {'fullname': b'\xe2\x80\x8e Af\xcd\x9fa\xcd\x9eq\xcd\x9e~A\xcd\x9eh\xcd\x9fm\xcd\x9ea\xcd\x9ed\xcd\x9f', 'timestamp': '2017-12-23 11:37:54', 'user': 'Afaq__Ahmad', 'replies': '3', 'likes': '235', 'retweets': '112'}}
{'944310780123631617': {'fullname': b'\xe2\x84\xa2\xd9\x86\xd8\xa7\xd8\xa7\xdb\x81\xd9\x84 \xd8\xb3\xdb\x8c\xd8\xa7\xd8\xb3\xdb\x8c \xd9\x85\xd8\xa4\xd8\xb1\xd8\xae', 'timestamp': '2017-12-22 20:56:49', 'user': 'Asmi_Malik_', 'replies': '2', 'likes': '57', 'retweets': '33'}}
{'944169407697342464': {'fullname': b'Lestaat Morias', 'timestamp': '2017-12-22 11:35:03', 'user': 'lestaatmorias', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'943931416479502336': {'fullname': b'The Metaphysicist', 'timestamp': '2017-12-21 19:49:21', 'user': 'metaphysist', 'replies': '1', 'likes': '7', 'retweets': '4'}}
{'943887184196710406': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-12-21 16:53:35', 'user': 'syedams1', 'replies': '2', 'likes': '56', 'retweets': '25'}}
{'943873284894089217': {'fullname': b'Kashif Khan \xda\xa9\xd8\xa7\xd8\xb4\xd9\x81 \xd8\xae\xd8\xa7\xda\xba', 'timestamp': '2017-12-21 15:58:22', 'user': 'shehanshah', 'replies': '0', 'likes': '3', 'retweets': '1'}}
{'943858824708087809': {'fullname': b'Die-Hard Pakistani', 'timestamp': '2017-12-21 15:00:54', 'user': 'anumuae', 'replies': '2', 'likes': '3', 'retweets': '2'}}
{'943858599742312449': {'fullname': b'Die-Hard Pakistani', 'timestamp': '2017-12-21 15:00:00', 'user': 'anumuae', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'943842927280877571': {'fullname': b'Bilal Naseem', 'timestamp': '2017-12-21 13:57:44', 'user': 'bilalnaseem031', 'replies': '0', 'likes': '2', 'retweets': '3'}}
{'943816113695215617': {'fullname': b'Khanzada', 'timestamp': '2017-12-21 12:11:11', 'user': 'khanzadatweets', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861712440559534080': {'fullname': b'Khurram', 'timestamp': '2017-05-08 22:40:30', 'user': 'MahmoodK69', 'replies': '0', 'likes': '3', 'retweets': '3'}}
{'861672881406738433': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-05-08 20:03:18', 'user': 'syedams1', 'replies': '0', 'likes': '5', 'retweets': '2'}}
{'861671187247714305': {'fullname': b'\xc3\x9bm\xc3\xabr', 'timestamp': '2017-05-08 19:56:34', 'user': 'UmerElyas', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861667945201582080': {'fullname': b'RAJA Imran', 'timestamp': '2017-05-08 19:43:41', 'user': 'enconnect', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861666467380686848': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-05-08 19:37:49', 'user': 'syedams1', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861663148855758848': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-05-08 19:24:38', 'user': 'syedams1', 'replies': '0', 'likes': '4', 'retweets': '1'}}
{'861636532104339457': {'fullname': b'wasseem sulehri', 'timestamp': '2017-05-08 17:38:52', 'user': 'wasseemsulehri', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861635800554930176': {'fullname': b'Abdul Rehman Butt', 'timestamp': '2017-05-08 17:35:57', 'user': 'arehmanbutt', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861626432119812098': {'fullname': b'\xd9\x85\xd8\xad\xd9\x88\xd9\x90 \xd8\xaa\xd9\x85\xd8\xa7\xd8\xb4\xdb\x81', 'timestamp': '2017-05-08 16:58:44', 'user': 'PoliticsSuckSs', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'861615005082546180': {'fullname': b'Malik Kashif Iqbal', 'timestamp': '2017-05-08 16:13:19', 'user': 'iqbaliqballeo', 'replies': '0', 'likes': '29', 'retweets': '22'}}
{'861612713553866752': {'fullname': b'Malik Kashif Iqbal', 'timestamp': '2017-05-08 16:04:13', 'user': 'iqbaliqballeo', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'861608289355919360': {'fullname': b'Shahjahan Shaikh', 'timestamp': '2017-05-08 15:46:38', 'user': 'ShaikhShahjahan', 'replies': '0', 'likes': '2', 'retweets': '2'}}
{'861603519706648576': {'fullname': b'Ali', 'timestamp': '2017-05-08 15:27:41', 'user': 'OyeQazilbash', 'replies': '0', 'likes': '2', 'retweets': '9'}}
